name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q3_1,39,34,30,27,27,24,16,14,20,10
Q3_2,35,33,31,28,28,25,18,13,20,11
Q3_3,33,32,30,27,27,24,15,15,18,12
Q3_4,28,26,24,23,23,22,14,10,12,10
Q3_5,27,26,25,23,23,20,16,9,17,7
Q3_6,36,33,31,27,27,23,22,9,24,6
Q3_7,27,23,21,16,16,14,15,6,15,5
Q3_8,39,35,33,29,29,23,19,14,23,9
Q3_9,39,36,34,30,30,27,19,15,24,10
Q3_10,31,31,31,25,25,21,17,14,19,11
Q3_11,42,39,37,34,34,31,18,19,21,15
Q3_12,23,21,20,18,18,14,13,7,13,7
Q3_13,33,32,31,28,28,24,17,14,20,10
Q3_14,31,28,28,25,25,23,18,10,18,9
Q3_15,34,34,33,29,29,23,20,13,19,13
Q3_16,32,29,26,21,21,18,17,9,16,10
Q3_17,35,33,33,29,29,24,21,12,27,5
Q3_18,38,35,33,30,30,30,23,10,19,12
Q3_19,44,41,40,33,33,31,24,16,23,14
Q3_20,39,35,34,28,28,25,19,15,18,14
Q3_21,33,31,30,26,26,21,17,13,21,9
Q3_22,39,38,36,30,30,24,20,16,23,13
Q3_23,33,30,28,25,25,20,14,14,18,9
Q3_24,39,38,38,35,35,29,19,19,27,10
Q3_25,32,30,28,25,25,23,19,9,17,9
Q3_26,41,36,31,27,27,25,18,13,22,8
Q3_27,32,30,28,23,23,20,16,12,17,9
Q3_28,38,36,33,30,30,26,18,15,21,10
Q3_29,27,26,25,24,24,23,13,12,15,9
Q3_30,31,29,28,25,25,23,15,13,13,14
Q4_1,36,33,33,29,29,26,20,13,23,10
Q4_2,37,36,34,30,30,23,16,18,21,11
Q4_3,35,33,30,25,25,19,17,13,26,4
Q4_4,28,26,25,24,24,21,13,12,16,8
Q4_5,36,33,31,24,24,21,19,12,20,10
Q4_6,31,29,26,21,21,19,11,15,12,13
Q4_7,31,28,27,24,24,20,17,10,16,10
Q4_8,40,38,36,34,34,30,21,15,23,10
Q4_9,33,28,28,26,26,22,20,8,21,6
Q4_10,35,33,31,29,29,28,21,10,18,13
Q4_11,39,35,31,23,23,18,20,11,22,8
Q4_12,36,32,31,27,27,24,16,15,21,9
Q4_13,35,34,30,26,26,22,18,12,18,11
Q4_14,36,35,32,28,28,25,20,12,16,15
Q4_15,31,31,31,28,28,25,18,13,21,8
Q4_16,36,33,31,25,25,24,16,15,21,9
Q4_17,37,36,34,33,33,28,21,13,23,11
Q4_18,38,36,35,31,31,29,17,18,21,11
Q4_19,32,31,30,26,26,22,20,10,19,11
Q4_20,28,27,25,25,25,24,10,15,13,11
Q4_21,33,33,31,26,26,22,16,15,21,10
Q4_22,35,33,31,24,24,23,25,6,18,13
Q4_23,37,33,31,28,28,25,17,14,20,10
Q4_24,35,33,33,30,30,29,22,11,19,12
Q4_25,27,22,21,20,20,17,8,13,11,9
Q4_26,32,29,29,25,25,21,20,9,18,10
Q4_27,31,28,27,25,25,20,17,10,17,10
Q4_28,50,47,45,41,41,37,25,20,31,12
Q4_29,29,27,24,21,21,18,10,14,17,5
Q4_30,31,28,27,22,22,18,19,8,17,10
Q5_1,34,32,30,25,25,22,17,13,17,13
Q5_2,35,33,31,29,29,26,15,16,21,10
Q5_3,34,30,28,23,23,21,16,12,15,11
Q5_4,36,33,32,28,28,25,21,11,19,11
Q5_5,35,33,32,28,28,22,16,16,23,9
Q5_6,33,29,28,24,24,23,13,15,15,12
Q5_7,34,30,29,26,26,23,19,10,18,10
Q5_8,35,31,30,26,26,22,20,10,21,7
Q5_9,34,33,30,28,28,24,16,14,16,12
Q5_10,33,28,26,23,23,18,15,11,18,7
Q5_11,35,34,32,29,29,26,19,13,19,12
Q5_12,34,33,30,25,25,21,17,13,19,10
Q5_13,33,30,29,28,28,24,16,13,21,7
Q5_14,36,34,32,28,28,25,17,15,19,11
Q5_15,35,34,32,30,30,25,17,15,23,8
Q5_16,32,31,31,29,29,28,19,12,20,11
Q5_17,35,33,30,27,27,23,17,13,19,10
Q5_18,34,34,31,28,28,24,22,9,21,8
Q5_19,36,34,33,31,31,28,23,10,22,10
Q5_20,35,30,29,24,24,20,20,9,19,9
Q5_21,34,32,32,27,27,24,17,15,25,6
Q5_22,34,33,31,26,26,23,17,14,20,11
Q5_23,35,33,31,26,26,25,18,13,16,15
Q5_24,35,33,30,26,26,24,19,11,18,11
Q5_25,33,31,30,27,27,24,16,14,18,10
Q5_26,34,32,32,28,28,22,16,16,20,11
Q5_27,33,30,28,23,23,21,17,11,19,8
Q5_28,34,33,30,25,25,20,16,14,18,10
Q5_29,34,33,31,26,26,23,22,9,20,11
Q5_30,36,31,30,27,27,24,17,13,21,9
Q5_31,103,96,91,80,80,70,53,38,58,30
Q6_1,47,42,38,32,32,28,21,17,22,15
Q6_2,27,25,24,21,21,18,14,10,15,9
Q6_3,35,33,31,28,28,24,16,15,18,12
Q6_4,42,40,38,33,33,28,27,11,25,13
Q6_5,31,30,28,23,23,21,17,11,19,8
Q6_6,31,29,28,25,25,22,18,10,19,9
Q6_7,31,30,29,24,24,23,20,9,13,14
Q6_8,42,38,37,32,32,28,18,19,22,13
Q6_9,38,36,35,28,28,25,21,14,23,10
Q6_10,36,34,34,30,30,25,19,15,21,13
Q6_11,23,21,17,14,14,12,9,8,9,8
Q6_12,31,30,28,25,25,21,16,12,21,6
Q6_13,25,23,20,17,17,16,16,4,14,6
Q6_14,35,32,31,27,27,23,19,12,20,9
Q6_15,31,28,28,24,24,20,14,14,20,8
Q6_16,36,32,32,30,30,29,20,12,22,9
Q6_17,34,31,28,23,23,19,13,15,13,13
Q6_18,33,29,29,26,26,23,21,8,22,6
Q6_19,40,38,36,35,35,31,16,20,22,12
Q6_20,32,29,27,24,24,20,16,11,16,10
Q6_21,31,29,26,22,22,19,18,8,16,8
Q6_22,38,37,34,31,31,25,20,14,25,9
Q6_23,34,33,30,27,27,23,18,12,21,8
Q6_24,32,30,30,27,27,24,13,17,19,9
Q6_25,38,36,33,27,27,22,19,14,19,13
Q6_26,32,30,28,25,25,24,19,9,16,12
Q6_27,38,36,36,33,33,30,24,12,27,7
Q6_28,40,38,37,33,33,32,21,16,25,11
Q6_29,30,26,25,23,23,17,10,15,18,6
Q6_30,37,35,33,31,31,28,17,16,18,14
Q7_1,36,32,29,24,24,22,17,12,16,13
Q7_2,38,35,35,33,33,30,18,17,22,10
Q7_3,33,30,27,24,24,21,14,13,18,8
Q7_4,41,36,34,31,31,26,23,11,20,13
Q7_5,32,29,28,24,24,22,17,11,16,11
Q7_6,37,34,33,30,30,25,22,11,17,14
Q7_7,23,23,22,20,20,17,17,5,15,7
Q7_8,34,33,30,26,26,23,16,14,23,6
Q7_9,35,34,31,26,26,25,21,10,17,12
Q7_10,36,34,33,28,28,23,21,12,22,10
Q7_11,39,35,35,29,29,28,21,14,19,15
Q7_12,36,35,34,32,32,28,21,13,22,11
Q7_13,40,39,36,34,34,29,24,12,24,11
Q7_14,38,36,35,30,30,29,23,12,20,14
Q7_15,32,29,27,27,27,23,12,15,17,9
Q7_16,26,22,21,20,20,15,11,10,17,4
Q7_17,28,27,25,22,22,18,16,9,18,7
Q7_18,28,27,27,21,21,19,15,12,18,8
Q7_19,35,34,31,27,27,23,19,12,18,12
Q7_20,42,40,38,30,30,26,23,15,25,12
Q7_21,27,27,24,21,21,18,15,9,16,6
Q7_22,33,29,27,22,22,21,15,12,19,7
Q7_23,45,42,42,35,35,31,22,20,26,15
Q7_24,37,36,33,31,31,27,18,15,23,9
Q7_25,30,28,26,24,24,19,13,13,17,8
Q7_26,26,24,23,21,21,18,11,12,16,6
Q7_27,31,26,25,22,22,19,13,12,18,7
Q7_28,36,32,31,26,26,23,18,13,21,9
Q7_29,35,35,34,29,29,25,17,17,22,11
Q7_30,41,37,34,31,31,27,17,17,18,15
